event-id,visible,timestamp,location-long,location-lat,argos:lc,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
12050623113,true,2012-08-02 01:25:00.000,-94.973,74.175,"2","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623114,true,2012-08-02 01:55:00.000,-95.05,74.159,"B","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623115,true,2012-08-02 02:04:00.000,-94.893,74.184,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623116,true,2012-08-02 02:34:00.000,-94.942,74.171,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623117,true,2012-08-02 06:35:00.000,-95.097,74.071,"B","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623118,true,2012-08-02 07:10:00.000,-95.098,74.068,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623119,true,2012-08-02 07:35:00.000,-95.085,74.054,"A","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623120,true,2012-08-02 07:35:00.000,-95.111,74.047,"2","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623121,true,2012-08-02 11:02:00.000,-95.508,74.053,"B","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623122,true,2012-08-02 11:02:00.000,-95.57,74.066,"B","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623123,true,2012-08-02 11:22:00.000,-95.407,74.063,"A","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623124,true,2012-08-02 11:41:00.000,-95.514,74.019,"1","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623125,true,2012-08-02 12:12:00.000,-95.618,74.037,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623126,true,2012-08-02 12:25:00.000,-95.524,73.992,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623127,true,2012-08-02 12:36:00.000,-95.498,74.006,"1","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623128,true,2012-08-02 16:03:00.000,-95.659,74.079,"A","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623129,true,2012-08-02 16:12:00.000,-95.739,73.989,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623130,true,2012-08-02 16:24:00.000,-95.795,74.0,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623131,true,2012-08-02 16:38:00.000,-95.818,74.029,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623132,true,2012-08-02 16:40:00.000,-95.925,74.072,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623133,true,2012-08-02 21:02:00.000,-96.262,73.992,"1","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623134,true,2012-08-02 21:11:00.000,-96.053,73.968,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623135,true,2012-08-02 21:22:00.000,-96.084,73.959,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623136,true,2012-08-02 21:38:00.000,-96.035,73.99,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623137,true,2012-08-03 02:09:00.000,-96.083,73.968,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623138,true,2012-08-03 03:50:00.000,-95.958,73.978,"1","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623139,true,2012-08-03 04:00:00.000,-95.818,73.897,"B","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623140,true,2012-08-03 07:00:00.000,-95.908,73.97,"B","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623141,true,2012-08-03 07:00:00.000,-96.153,73.929,"B","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623142,true,2012-08-03 07:15:00.000,-95.963,74.001,"B","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623143,true,2012-08-03 07:25:00.000,-96.073,73.961,"2","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623144,true,2012-08-03 08:37:00.000,-96.337,73.981,"1","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623145,true,2012-08-03 12:02:00.000,-96.084,73.941,"2","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623146,true,2012-08-03 13:42:00.000,-96.054,73.947,"1","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623147,true,2012-08-03 17:03:00.000,-95.997,73.934,"2","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623148,true,2012-08-03 17:19:00.000,-95.803,73.887,"A","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623149,true,2012-08-03 17:29:00.000,-96.003,73.931,"1","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623150,true,2012-08-03 17:31:00.000,-96.03,73.929,"1","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623151,true,2012-08-03 17:40:00.000,-95.997,73.921,"2","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623152,true,2012-08-03 17:54:00.000,-96.035,73.932,"1","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623153,true,2012-08-03 22:06:00.000,-96.298,73.917,"2","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623154,true,2012-08-03 22:19:00.000,-96.285,73.889,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623155,true,2012-08-03 22:29:00.000,-96.276,73.888,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623156,true,2012-08-03 22:36:00.000,-96.331,73.903,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623157,true,2012-08-03 22:38:00.000,-96.28,73.91,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623158,true,2012-08-03 22:55:00.000,-96.27,73.902,"1","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623159,true,2012-08-04 03:20:00.000,-96.42,73.956,"A","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623160,true,2012-08-04 03:30:00.000,-96.431,73.959,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623161,true,2012-08-04 03:39:00.000,-96.489,73.964,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623162,true,2012-08-04 05:02:00.000,-96.324,73.902,"1","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623163,true,2012-08-04 05:02:00.000,-96.475,73.952,"B","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623164,true,2012-08-04 05:12:00.000,-96.454,73.949,"1","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623165,true,2012-08-04 05:21:00.000,-96.485,73.968,"A","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623166,true,2012-08-04 08:30:00.000,-96.709,73.99,"1","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623167,true,2012-08-04 08:50:00.000,-96.647,73.99,"B","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623168,true,2012-08-04 08:50:00.000,-96.655,73.992,"B","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623169,true,2012-08-04 08:57:00.000,-96.705,73.985,"1","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623170,true,2012-08-04 09:09:00.000,-96.727,73.992,"1","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623171,true,2012-08-04 13:32:00.000,-96.833,73.97,"1","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623172,true,2012-08-04 13:33:00.000,-96.844,73.972,"1","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623173,true,2012-08-04 13:43:00.000,-96.964,73.982,"A","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623174,true,2012-08-04 13:43:00.000,-96.966,73.985,"A","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623175,true,2012-08-04 13:48:00.000,-96.9,73.981,"A","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623176,true,2012-08-04 13:48:00.000,-96.901,73.984,"A","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623177,true,2012-08-04 13:56:00.000,-96.9,73.953,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623178,true,2012-08-04 13:56:00.000,-96.924,73.962,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623179,true,2012-08-04 14:12:00.000,-97.139,73.904,"A","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623180,true,2012-08-04 18:33:00.000,-97.114,73.97,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623181,true,2012-08-04 18:47:00.000,-97.109,73.972,"1","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623182,true,2012-08-04 18:49:00.000,-97.096,73.957,"0","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623183,true,2012-08-04 18:57:00.000,-97.101,73.951,"1","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
12050623184,true,2012-08-04 18:57:00.000,-97.16,73.983,"2","argos-doppler-shift","Pusa hispida","107832","107832","Ringed Seals Resolute"
